buildingname,buildingaddress,buildingtype,buildingsize,greenmarkyearaward,greenmarkrating,greenmarkstatus,grossfloorarea,2018energyuseintensity,2019energyusintensity,voluntarydisclosure
PELANGI VILLAGE,"8 BUANGKOK GREEN, SINGAPORE 539752","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"4,627",19,20,Y
GOOD SHEPHERD PLACE,"9 LORONG 8 TOA PAYOH, SINGAPORE 319253","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"9,062",24,24,Y
N/A,"50 LORONG 34 GEYLANG, SINGAPORE 398239","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,101",27,30,Y
MUHAMMADIYAH WELFARE HOME,"58 BEDOK NORTH STREET 3, SINGAPORE 469624","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,144",29,31,Y
LITTLE SISTERS OF THE POOR,"49 UPPER THOMSON ROAD, SINGAPORE 574325","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"13,002",36,37,Y
HOME @ HONG SAN,"28 HONG SAN TERRACE, SINGAPORE 688247","Civic, Community and Cultural Institution",N/A,2019,GoldPlus,Yes,"5,095",47,46,Y
GRACEHAVEN,"3 LORONG NAPIRI, SINGAPORE 547528","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,533",51,51,Y
DIOCESAN CENTRE BUILDING,"1 FRANCIS THOMAS DRIVE, SINGAPORE 359340","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,691",51,53,Y
PELANGI VILLAGE,"10 BUANGKOK GREEN, SINGAPORE 539753","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,892",56,54,Y
ANGLICAN CARE CENTRE (SIMEI),"10 SIMEI STREET 3, SINGAPORE 529897","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"9,132",60,56,Y
PELANGI VILLAGE,"14 BUANGKOK GREEN, SINGAPORE 539755","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,762",65,65,Y
N/A,N/A,"Civic, Community and Cultural Institution",N/A,N/A,N/A,No,N/A,65,65,N
PELANGI VILLAGE,"6 BUANGKOK GREEN, SINGAPORE 539751","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,520",66,68,Y
PELANGI VILLAGE,"12 BUANGKOK GREEN, SINGAPORE 539754","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,796",71,68,Y
HOME FOR THE AGED,"11 BUKIT BATOK WEST AVENUE 2, SINGAPORE 659205","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,200",73,68,Y
PELANGI VILLAGE,"4 BUANGKOK GREEN, SINGAPORE 539750","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,685",67,69,Y
HOME FOR THE AGED,"1 TAMPINES AVENUE 3, SINGAPORE 529707","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"5,797",67,70,Y
HIGHLAND TERRACE,"2 HIGHLAND ROAD, SINGAPORE 549102","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"3,065",73,72,Y
HOME FOR THE AGED,"51 MARSILING DRIVE, SINGAPORE 739297","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"5,709",83,82,Y
LEE KUO CHUAN OLD PEOPLES HOME,"500 UPPER BUKIT TIMAH ROAD, SINGAPORE 678106","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"10,771",82,87,Y
SINGAPORE ASSN OF THE VISUALLY HANDICAPPED,"47 TOA PAYOH RISE, SINGAPORE 298104","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,942,89,89,Y
SALVATION ARMY,"20 BISHAN STREET 22, SINGAPORE 579768","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,484",95,95,Y
LAM ANN BUILDING,"30 MOHAMED SULTAN ROAD, SINGAPORE 238974","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"2,000",94,96,Y
N/A,"20 SEMBAWANG CRESCENT, SINGAPORE 757092","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,572",96,101,Y
FU HUI LINK,"19 COMPASSVALE WALK, SINGAPORE 544644","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"10,139",82,103,Y
PELANGI VILLAGE,"2 BUANGKOK GREEN, SINGAPORE 539749","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,236",102,103,Y
N/A,N/A,"Civic, Community and Cultural Institution",N/A,N/A,N/A,No,N/A,106,106,N
SREE NARAYANA MISSION HOME FOR THE AGED SICK,"12 YISHUN AVENUE 5, SINGAPORE 768992","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,793",133,111,Y
SINGAPORE MANUFACTURING FEDERATION BUILDING,"2985 JALAN BUKIT MERAH, SINGAPORE 159457","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"7,676",113,114,Y
YMCA,"1 ORCHARD ROAD, SINGAPORE 238824","Civic, Community and Cultural Institution",N/A,2017,GoldPlus,Yes,"8,710",122,117,Y
N/A,"60 BUANGKOK VIEW, SINGAPORE 534012","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"9,094",118,118,Y
N/A,"31 WOODLANDS AVENUE 6, SINGAPORE 738991","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"4,175",106,125,Y
BOY'S TOWN,"624 UPPER BUKIT TIMAH ROAD, SINGAPORE 678212","Civic, Community and Cultural Institution",N/A,2013,Legislated,Yes,"3,206",150,163,Y
LIGHTHOUSE SCHOOL,"51 TOA PAYOH RISE, SINGAPORE 298106","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,619,160,177,Y
SENGKANG COMMUNITY HUB,"2 SENGKANG SQUARE, SINGAPORE 545025","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"11,472",184,178,Y
N/A,N/A,"Civic, Community and Cultural Institution",N/A,N/A,N/A,No,N/A,198,180,N
CI YUAN COMMUNITY CLUB,"51 HOUGANG AVENUE 9, SINGAPORE 538776","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"10,928",204,198,Y
ULU PANDAN COMMUNITY CENTRE,"170 GHIM MOH ROAD, SINGAPORE 279621","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"8,269",216,206,Y
JAPANESE CLUB,"120 ADAM ROAD, SINGAPORE 289899","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"7,401",315,308,Y
MARINE PARADE COMMUNITY CENTRE,"278 MARINE PARADE ROAD, SINGAPORE 449282","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"5,340",461,343,Y
N/A,"190 KENG LEE ROAD, SINGAPORE 308409","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"6,118",350,388,Y
SINGAPORE CHINESE CULTURAL CENTRE,"1 STRAITS BOULEVARD, SINGAPORE 018906","Civic, Community and Cultural Institution",N/A,2017,Platinum,Yes,"15,123",82,84,Y
NATIONAL GALLERY SINGAPORE,"1 ST. ANDREWS ROAD, SINGAPORE 178957","Civic, Community and Cultural Institution",N/A,2012,GoldPlus,Yes,"64,469",177,172,Y
N/A,"32 JURONG PORT ROAD, SINGAPORE 619104","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"20,940",309,287,Y
NATIONAL MUSEUM OF SINGAPORE,"93 STAMFORD ROAD, SINGAPORE 178897","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"20,121",489,450,Y
KALLANG THEATRE,"1 STADIUM WALK, SINGAPORE 397688","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"12,098",111,57,Y
SINGAPORE CONFERENCE HALL,"7 SHENTON WAY, SINGAPORE 068810","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"8,630",180,178,Y
THE ARTS HOUSE AT THE OLD PARLIAMENT,"1 OLD PARLIAMENT LANE, SINGAPORE 179429","Civic, Community and Cultural Institution",N/A,N/A,N/A,No,"4,480",263,278,Y
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
