month,town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,num_transactions,min_price,max_price,avg_price,total_price
2015-06,SEMBAWANG,4 ROOM,353A,ADMIRALTY DR,93,Model A,2002,10,375000,488000,432394,4323944
2016-06,SEMBAWANG,5 ROOM,353B,ADMIRALTY DR,110,Improved,2002,4,360000,450000,420750,1683000
2015-03,SEMBAWANG,4 ROOM,353C,ADMIRALTY DR,91,Model A,2002,7,380000,485000,440571,3084000
2015-04,SEMBAWANG,5 ROOM,354A,ADMIRALTY DR,110,Improved,2002,2,363888,385000,374444,748888
2015-01,SEMBAWANG,5 ROOM,354B,ADMIRALTY DR,110,Improved,2001,10,364000,475000,421089,4210888
2015-05,SEMBAWANG,4 ROOM,354C,ADMIRALTY DR,93,Model A,2001,4,418888,485000,454972,1819888
2015-05,SEMBAWANG,EXECUTIVE,354D,ADMIRALTY DR,126,Apartment,2002,5,478888,528000,504138,2520688
2015-07,SEMBAWANG,4 ROOM,356A,ADMIRALTY DR,94,Premium Apartment,2001,3,390000,460000,414000,1242000
2015-05,SEMBAWANG,EXECUTIVE,356B,ADMIRALTY DR,131,Premium Apartment,2001,12,383000,535000,491241,5894888
2016-05,SEMBAWANG,EXECUTIVE,356C,ADMIRALTY DR,131,Premium Apartment,2001,3,418000,463000,433667,1301000
2015-03,SEMBAWANG,4 ROOM,357,ADMIRALTY DR,94,Premium Apartment,2001,9,360000,560000,426389,3837500
2015-03,SEMBAWANG,5 ROOM,357A,ADMIRALTY DR,110,Premium Apartment,2001,10,327000,523000,417699,4176988
2015-10,SEMBAWANG,5 ROOM,357B,ADMIRALTY DR,111,Premium Apartment,2001,7,355000,528000,451213,3158488
2015-03,SEMBAWANG,4 ROOM,357C,ADMIRALTY DR,95,Premium Apartment,2001,9,370000,510000,424642,3821776
2015-06,SEMBAWANG,5 ROOM,359,ADMIRALTY DR,111,Premium Apartment,2001,9,350000,500000,405000,3645000
2015-03,SEMBAWANG,EXECUTIVE,359A,ADMIRALTY DR,131,Premium Apartment,2001,7,358000,550000,422714,2959000
2015-01,SEMBAWANG,4 ROOM,359B,ADMIRALTY DR,95,Premium Apartment,2001,11,355000,440000,393182,4325000
2015-06,SEMBAWANG,4 ROOM,359C,ADMIRALTY DR,95,Premium Apartment,2001,7,330000,466888,390039,2730276
2015-03,SEMBAWANG,4 ROOM,360A,ADMIRALTY DR,95,Premium Apartment,2001,5,380000,422000,393400,1967000
2015-03,SEMBAWANG,EXECUTIVE,360B,ADMIRALTY DR,131,Premium Apartment,2001,6,380000,495000,426000,2556000
2015-09,SEMBAWANG,5 ROOM,360C,ADMIRALTY DR,110,Premium Apartment,2001,4,420000,537000,466750,1867000
2015-04,SEMBAWANG,EXECUTIVE,467,ADMIRALTY DR,142,Premium Apartment,2001,16,355000,500000,398812,6381000
2015-02,SEMBAWANG,5 ROOM,467A,ADMIRALTY DR,118,Premium Apartment,2001,7,352000,420000,379857,2659000
2015-02,SEMBAWANG,EXECUTIVE,467B,ADMIRALTY DR,137,Premium Apartment,2001,10,375000,490000,430200,4302000
2015-06,SEMBAWANG,EXECUTIVE,468A,ADMIRALTY DR,137,Premium Apartment,2001,6,410000,497000,458333,2750000
2015-08,SEMBAWANG,EXECUTIVE,468B,ADMIRALTY DR,137,Premium Apartment,2001,4,410000,480000,445000,1780000
2016-03,SEMBAWANG,EXECUTIVE,468C,ADMIRALTY DR,137,Premium Apartment,2001,3,458000,475000,466000,1398000
2015-01,SEMBAWANG,EXECUTIVE,468D,ADMIRALTY DR,137,Premium Apartment,2001,7,425000,490000,468143,3277000
2015-02,SEMBAWANG,4 ROOM,469,ADMIRALTY DR,102,Premium Apartment,2001,6,370000,475000,412167,2473000
2015-03,SEMBAWANG,5 ROOM,469A,ADMIRALTY DR,118,Premium Apartment,2001,8,355000,498000,438250,3506000
2015-02,SEMBAWANG,4 ROOM,469B,ADMIRALTY DR,102,Premium Apartment,2001,8,365000,520000,423750,3390000
2015-07,SEMBAWANG,5 ROOM,401,ADMIRALTY LINK,110,Improved,2001,5,330000,413000,380578,1902888
2016-01,SEMBAWANG,5 ROOM,402,ADMIRALTY LINK,110,Improved,2001,6,362888,418000,388981,2333888
2015-02,SEMBAWANG,4 ROOM,403,ADMIRALTY LINK,90,Model A,2001,2,343000,385000,364000,728000
2015-02,SEMBAWANG,5 ROOM,404,ADMIRALTY LINK,110,Improved,2001,9,323000,415000,373056,3357500
2015-01,SEMBAWANG,4 ROOM,405,ADMIRALTY LINK,86,Model A2,2001,7,330000,358000,343143,2402000
2015-02,SEMBAWANG,4 ROOM,482,ADMIRALTY LINK,86,Model A2,2004,7,320000,355000,342714,2399000
2015-01,SEMBAWANG,4 ROOM,483,ADMIRALTY LINK,90,Model A,2004,12,333888,408000,384991,4619888
2015-02,SEMBAWANG,5 ROOM,484,ADMIRALTY LINK,110,Improved,2003,18,330000,420000,379111,6824000
2015-08,SEMBAWANG,4 ROOM,485,ADMIRALTY LINK,85,Model A2,2003,7,320000,360000,346429,2425000
2015-03,SEMBAWANG,5 ROOM,486,ADMIRALTY LINK,110,Improved,2004,9,330000,435000,395889,3563000
2015-02,SEMBAWANG,4 ROOM,487,ADMIRALTY LINK,96,Model A,2010,11,355000,410000,380626,4186888
2015-07,SEMBAWANG,4 ROOM,488,ADMIRALTY LINK,94,Model A,2010,14,338000,405000,373143,5224000
2015-02,SEMBAWANG,4 ROOM,489,ADMIRALTY LINK,94,Model A,2010,20,330000,409000,376904,7538076
2015-03,SEMBAWANG,4 ROOM,490,ADMIRALTY LINK,94,Model A,2010,14,315000,405000,373706,5231888
2015-03,SEMBAWANG,4 ROOM,491,ADMIRALTY LINK,91,Model A,2004,10,325000,420000,380600,3806000
2015-05,SEMBAWANG,4 ROOM,492,ADMIRALTY LINK,90,Model A,2004,9,355000,403000,367444,3307000
2015-03,SEMBAWANG,4 ROOM,493,ADMIRALTY LINK,91,Model A,2004,10,368000,438000,403000,4030000
2015-01,KALLANG/WHAMPOA,5 ROOM,101,AH HOOD RD,118,Improved,1981,4,620000,695000,668250,2673000
2015-01,KALLANG/WHAMPOA,5 ROOM,103,AH HOOD RD,118,Improved,1981,3,620000,681000,656000,1968000
2015-08,GEYLANG,3 ROOM,101,ALJUNIED CRES,67,New Generation,1978,4,288000,320000,303250,1213000
2015-01,GEYLANG,3 ROOM,102,ALJUNIED CRES,67,New Generation,1978,8,300000,485000,378125,3025000
2015-03,GEYLANG,5 ROOM,105,ALJUNIED CRES,121,Improved,1979,4,570000,642000,614250,2457000
2015-02,GEYLANG,3 ROOM,106,ALJUNIED CRES,67,New Generation,1979,7,310000,490000,360429,2523000
2016-04,GEYLANG,4 ROOM,107,ALJUNIED CRES,91,New Generation,1981,2,468000,492000,480000,960000
2015-08,GEYLANG,3 ROOM,108,ALJUNIED CRES,68,New Generation,1981,5,300000,480000,384178,1920888
