month,town,flat_type,block,street_name,floor_area_sqm,flat_model,lease_commence_date,num_transactions,min_price,max_price,avg_price,total_price
2017-06,SEMBAWANG,4 ROOM,353A,ADMIRALTY DR,93,Model A,2002,24,380000,700000,504523,12108552
2017-01,SEMBAWANG,5 ROOM,353B,ADMIRALTY DR,110,Improved,2002,20,362888,676000,492389,9847776
2017-02,SEMBAWANG,5 ROOM,353C,ADMIRALTY DR,110,Improved,2002,25,398000,705000,527787,13194664
2017-03,SEMBAWANG,5 ROOM,354A,ADMIRALTY DR,113,Improved,2002,22,355000,700000,529384,11646440
2017-07,SEMBAWANG,5 ROOM,354B,ADMIRALTY DR,110,Improved,2001,15,398000,650000,486793,7301888
2017-07,SEMBAWANG,4 ROOM,354C,ADMIRALTY DR,93,Model A,2001,17,360000,675000,522052,8874888
2017-11,SEMBAWANG,EXECUTIVE,354D,ADMIRALTY DR,125,Apartment,2002,22,475000,785000,592531,13035688
2017-04,SEMBAWANG,4 ROOM,356A,ADMIRALTY DR,95,Premium Apartment,2001,17,333000,630000,477294,8114000
2017-03,SEMBAWANG,4 ROOM,356B,ADMIRALTY DR,95,Premium Apartment,2001,26,328000,640000,479222,12459776
2017-06,SEMBAWANG,4 ROOM,356C,ADMIRALTY DR,95,Premium Apartment,2001,26,334168,678000,515536,13403944
2017-01,SEMBAWANG,4 ROOM,357,ADMIRALTY DR,96,Premium Apartment,2001,28,335000,730000,479560,13427688
2017-01,SEMBAWANG,5 ROOM,357A,ADMIRALTY DR,110,Premium Apartment,2001,33,335000,790000,540869,17848664
2017-02,SEMBAWANG,5 ROOM,357B,ADMIRALTY DR,110,Premium Apartment,2001,32,302000,718000,511792,16377352
2017-02,SEMBAWANG,EXECUTIVE,357C,ADMIRALTY DR,131,Premium Apartment,2001,21,350000,600000,473905,9951999
2017-07,SEMBAWANG,4 ROOM,359,ADMIRALTY DR,95,Premium Apartment,2001,22,305000,760000,482955,10625000
2017-06,SEMBAWANG,EXECUTIVE,359A,ADMIRALTY DR,131,Premium Apartment,2001,35,332000,780000,494071,17292500
2017-07,SEMBAWANG,EXECUTIVE,359B,ADMIRALTY DR,131,Premium Apartment,2001,30,305000,647000,488663,14659888
2017-04,SEMBAWANG,5 ROOM,359C,ADMIRALTY DR,110,Premium Apartment,2001,25,343888,758888,528387,13209664
2017-04,SEMBAWANG,4 ROOM,360A,ADMIRALTY DR,95,Premium Apartment,2001,23,340000,620888,454807,10460564
2017-02,SEMBAWANG,5 ROOM,360B,ADMIRALTY DR,110,Premium Apartment,2001,30,313000,730000,463858,13915752
2017-03,SEMBAWANG,EXECUTIVE,360C,ADMIRALTY DR,131,Premium Apartment,2001,31,340000,675000,480664,14900576
