Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,480,000",882.65,"1,677",Jan-26,Strata,82,"18,049",99 yrs lease commencing from 2006,07,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"1,460,000",516.67,"2,826",Jan-26,Strata,48,"30,417",99 yrs lease commencing from 1975,09,06 to 10
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"798,000",516.67,"1,545",Jan-26,Strata,48,"16,625",99 yrs lease commencing from 1974,07,06 to 10
THE MEZZO,BALESTIER ROAD,Office,"976,888",581.26,"1,681",Jan-26,Strata,54,"18,091",Freehold,12,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"1,190,000",592.02,"2,010",Jan-26,Strata,55,"21,636",999 yrs lease commencing from 1827,06,01 to 05
CENTRIUM SQUARE,SERANGOON ROAD,Office,"1,450,000",570.49,"2,542",Jan-26,Strata,53,"27,358",Freehold,08,11 to 15
SBF CENTER,ROBINSON ROAD,Office,"2,028,000",624.31,"3,248",Jan-26,Strata,58,"34,966",99 yrs lease commencing from 2011,01,21 to 25
INTERNATIONAL PLAZA,ANSON ROAD,Office,"900,000",462.85,"1,944",Jan-26,Strata,43,"20,930",99 yrs lease commencing from 1970,02,16 to 20
BALMORAL PLAZA,BUKIT TIMAH ROAD,Office,"1,530,000",527.44,"2,901",Jan-26,Strata,49,"31,224",Freehold,10,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,200,000",538.2,"2,230",Jan-26,Strata,50,"24,000",99 yrs lease commencing from 2011,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,200,000",538.2,"2,230",Jan-26,Strata,50,"24,000",99 yrs lease commencing from 2011,14,01 to 05
UNION BUILDING,TRAS STREET,Office,"2,100,000",925.7,"2,269",Jan-26,Strata,86,"24,419",Freehold,02,06 to 10
PEOPLE'S PARK COMPLEX,PARK ROAD,Office,"700,000",484.38,"1,445",Jan-26,Strata,45,"15,556",99 yrs lease commencing from 1968,01,01 to 05
