Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,210,000",548.96,"2,204",Jan-25,Strata,51,"23,725",99 yrs lease commencing from 1969,06,11 to 15
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"385,000",247.57,"1,555",Jan-25,Strata,23,"16,739",99 yrs lease commencing from 1969,06,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"960,000",441.32,"2,175",Jan-25,Strata,41,"23,415",Freehold,15,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"937,777",473.62,"1,980",Jan-25,Strata,44,"21,313",99 yrs lease commencing from 1970,02,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"1,880,000",624.31,"3,011",Jan-25,Strata,58,"32,414",99 yrs lease commencing from 2001,01,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"1,250,000",990.29,"1,262",Jan-25,Strata,92,"13,587",99 yrs lease commencing from 1970,07,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,163,000",538.2,"2,161",Jan-25,Strata,50,"23,260",99 yrs lease commencing from 2011,14,06 to 10
THE MODULES,JOO CHIAT ROAD,Office,"1,080,000",495.14,"2,181",Jan-25,Strata,46,"23,478",Freehold,15,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"7,785,500","4,230.25","1,840",Jan-25,Strata,393,"19,810",99 yrs lease commencing from 1970,02,31 to 35
PS100,PECK SEAH STREET,Office,"1,280,000",473.62,"2,703",Jan-25,Strata,44,"29,091",99 yrs lease commencing from 2011,02,06 to 10
JALAN BESAR PLAZA,KITCHENER ROAD,Office,"600,000",258.34,"2,323",Jan-25,Strata,24,"25,000",Freehold,08,01 to 05
OXLEY TOWER,ROBINSON ROAD,Office,"3,680,000","1,259.39","2,922",Jan-25,Strata,117,"31,453",Freehold,01,21 to 25
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,900,000","1,151.75","1,650",Jan-25,Strata,107,"17,757",99 yrs lease commencing from 1997,07,01 to 05
TOKIO MARINE CENTRE,MCCALLUM STREET,Office,"67,530,000","19,052.28","3,544",Jan-25,Strata,"1,770","38,153",Freehold,01,-
ARC 380,JALAN BESAR,Office,"2,159,400",731.95,"2,950",Jan-25,Strata,68,"31,756",Freehold,08,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"5,947,000","1,689.95","3,519",Jan-25,Strata,157,"37,879",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"4,800,000","1,356.26","3,539",Jan-25,Strata,126,"38,095",99 yrs lease commencing from 2023,09,11 to 15
INTERNATIONAL PLAZA,ANSON ROAD,Office,"4,243,000","2,357.32","1,800",Jan-25,Strata,219,"19,374",99 yrs lease commencing from 1970,02,16 to 20
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,170,000",559.73,"2,090",Jan-25,Strata,52,"22,500",99 yrs lease commencing from 2014,25,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,100,000",958,"2,192",Jan-25,Strata,89,"23,596",99 yrs lease commencing from 2011,14,06 to 10
FORTUNE CENTRE,MIDDLE ROAD,Office,"1,660,000","1,076.4","1,542",Jan-25,Strata,100,"16,600",99 yrs lease commencing from 1980,07,16 to 20
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,050,000",548.96,"1,913",Jan-25,Strata,51,"20,588",99 yrs lease commencing from 1969,06,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,123,090",559.73,"2,006",Jan-25,Strata,52,"21,598",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,123,090",559.73,"2,006",Jan-25,Strata,52,"21,598",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,123,090",559.73,"2,006",Jan-25,Strata,52,"21,598",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,580,020","1,259.39","2,049",Jan-25,Strata,117,"22,051",99 yrs lease commencing from 2014,25,06 to 10
SBF CENTER,ROBINSON ROAD,Office,"2,688,210",753.48,"3,568",Jan-25,Strata,70,"38,403",99 yrs lease commencing from 2011,01,16 to 20
WOODS SQUARE,WOODLANDS SQUARE,Office,"960,000",516.67,"1,858",Dec-24,Strata,48,"20,000",99 yrs lease commencing from 2014,25,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"2,108,000",871.88,"2,418",Dec-24,Strata,81,"26,025",99 yrs lease commencing from 2001,01,06 to 10
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"700,888",441.32,"1,588",Dec-24,Strata,41,"17,095",99 yrs lease commencing from 1969,06,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,880,000","1,140.98","1,648",Dec-24,Strata,106,"17,736",99 yrs lease commencing from 1997,07,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"1,400,000",699.66,"2,001",Dec-24,Strata,65,"21,538",99 yrs lease commencing from 2013,22,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"4,884,000","1,410.08","3,464",Dec-24,Strata,131,"37,282",99 yrs lease commencing from 2023,09,11 to 15
THE CENTRAL,EU TONG SEN STREET,Office,"2,080,000",731.95,"2,842",Dec-24,Strata,68,"30,588",99 yrs lease commencing from 2001,01,11 to 15
THE CENTRAL,EU TONG SEN STREET,Office,"2,829,000",882.65,"3,205",Dec-24,Strata,82,"34,500",99 yrs lease commencing from 2001,01,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"2,829,000",882.65,"3,205",Dec-24,Strata,82,"34,500",99 yrs lease commencing from 2001,01,16 to 20
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,684,800",936.47,"1,799",Dec-24,Strata,87,"19,366",99 yrs lease commencing from 1970,02,26 to 30
FUYUEN COURT,SIMS AVENUE,Office,"605,500",409.03,"1,480",Dec-24,Strata,38,"15,934",Freehold,14,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"3,654,000","1,151.75","3,173",Dec-24,Strata,107,"34,150",99 yrs lease commencing from 2023,09,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,870,000",635.08,"2,945",Dec-24,Strata,59,"31,695",99 yrs lease commencing from 2001,01,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"6,004,000","1,743.77","3,443",Dec-24,Strata,162,"37,062",99 yrs lease commencing from 2023,09,11 to 15
SBF CENTER,ROBINSON ROAD,Office,"4,500,000","1,323.97","3,399",Dec-24,Strata,123,"36,585",99 yrs lease commencing from 2011,01,21 to 25
ONE SOPHIA,SOPHIA ROAD,Office,"3,087,000",958,"3,222",Dec-24,Strata,89,"34,685",99 yrs lease commencing from 2023,09,01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"688,000",376.74,"1,826",Dec-24,Strata,35,"19,657",99 yrs lease commencing from 1980,03,01 to 05
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"10,319,100","3,498.3","2,950",Dec-24,Strata,325,"31,751",99 yrs lease commencing from 1989,01,11 to 15
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"35,888,888","11,786.58","3,045",Dec-24,Strata,"1,095","32,775",99 yrs lease commencing from 1989,01,21 to 25
ONE SOPHIA,SOPHIA ROAD,Office,"5,000,000","1,410.08","3,546",Dec-24,Strata,131,"38,168",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"3,381,000",947.23,"3,569",Dec-24,Strata,88,"38,420",99 yrs lease commencing from 2023,09,11 to 15
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"933,000",742.72,"1,256",Dec-24,Strata,69,"13,522",Freehold,15,06 to 10
TONG ENG BUILDING,CECIL STREET,Office,"1,550,000",462.85,"3,349",Dec-24,Strata,43,"36,047",999 yrs lease commencing from 1885,01,16 to 20
FORTUNE CENTRE,MIDDLE ROAD,Office,"1,758,000","1,140.98","1,541",Dec-24,Strata,106,"16,585",99 yrs lease commencing from 1980,07,16 to 20
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,695,000","1,001.05","1,693",Dec-24,Strata,93,"18,226",99 yrs lease commencing from 1997,07,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"3,309,000",947.23,"3,493",Dec-24,Strata,88,"37,602",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"3,661,000","1,140.98","3,209",Dec-24,Strata,106,"34,538",99 yrs lease commencing from 2023,09,06 to 10
HAVELOCK2,HAVELOCK ROAD,Office,"1,530,000",861.12,"1,777",Dec-24,Strata,80,"19,125",99 yrs lease commencing from 1983,01,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,629,155",753.48,"2,162",Dec-24,Strata,70,"23,274",99 yrs lease commencing from 2014,25,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,138,500",495.14,"2,299",Dec-24,Strata,46,"24,750",999 yrs lease commencing from 1829,06,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"4,055,000","1,270.15","3,193",Nov-24,Land,118,"34,364",99 yrs lease commencing from 2023,09,01 to 05
N.A.,ROBINSON ROAD,Office,"18,438,800","4,736.16","3,893",Nov-24,Strata,440,"41,906",Freehold,01,06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,480,000",850.36,"1,740",Nov-24,Strata,79,"18,734",99 yrs lease commencing from 1997,07,06 to 10
SLF BUILDING,THOMSON ROAD,Office,"8,800,000","9,450.79",931,Nov-24,Strata,878,"10,023",99 yrs lease commencing from 1979,11,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,775,000",559.73,"3,171",Nov-24,Strata,52,"34,135",999 yrs lease commencing from 1829,06,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"900,000",344.45,"2,613",Nov-24,Strata,32,"28,125",999 yrs lease commencing from 1829,06,06 to 10
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,738,800","1,237.86","1,405",Nov-24,Strata,115,"15,120",99 yrs lease commencing from 1997,07,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"8,487,000","2,486.48","3,413",Nov-24,Strata,231,"36,740",99 yrs lease commencing from 2023,09,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"3,505,000","1,097.93","3,192",Nov-24,Strata,102,"34,363",99 yrs lease commencing from 2023,09,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"3,755,000","1,097.93","3,420",Nov-24,Strata,102,"36,814",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"6,001,000","1,786.82","3,358",Nov-24,Strata,166,"36,151",99 yrs lease commencing from 2023,09,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,165,000",484.38,"2,405",Nov-24,Strata,45,"25,889",99 yrs lease commencing from 2011,14,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"2,890,000",925.7,"3,122",Nov-24,Strata,86,"33,605",99 yrs lease commencing from 2023,09,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"800,000",269.1,"2,973",Nov-24,Strata,25,"32,000",99 yrs lease commencing from 1980,07,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"4,388,000","1,356.26","3,235",Nov-24,Strata,126,"34,825",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"4,562,000","1,410.08","3,235",Nov-24,Strata,131,"34,824",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"4,823,000","1,410.08","3,420",Nov-24,Strata,131,"36,817",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"2,882,000",882.65,"3,265",Nov-24,Strata,82,"35,146",99 yrs lease commencing from 2023,09,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"6,109,000","1,808.35","3,378",Nov-24,Strata,168,"36,363",99 yrs lease commencing from 2023,09,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"860,000",559.73,"1,536",Nov-24,Strata,52,"16,538",99 yrs lease commencing from 2014,25,01 to 05
ONE SOPHIA,SOPHIA ROAD,Office,"3,594,000","1,097.93","3,273",Nov-24,Strata,102,"35,235",99 yrs lease commencing from 2023,09,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,658,300",721.19,"2,299",Nov-24,Strata,67,"24,751",99 yrs lease commencing from 2011,14,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,685,555",936.47,"1,800",Nov-24,Strata,87,"19,374",99 yrs lease commencing from 1970,02,26 to 30
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,108,000",548.96,"2,018",Nov-24,Strata,51,"21,725",99 yrs lease commencing from 2011,14,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"1,688,500",613.55,"2,752",Nov-24,Strata,57,"29,623",999 yrs lease commencing from 1827,06,06 to 10
PEOPLE'S PARK COMPLEX,PARK ROAD,Office,"768,000",581.26,"1,321",Nov-24,Strata,54,"14,222",99 yrs lease commencing from 1968,01,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,280,000",731.95,"1,749",Nov-24,Strata,68,"18,824",99 yrs lease commencing from 1997,07,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"5,651,200","1,765.3","3,201",Nov-24,Strata,164,"34,459",99 yrs lease commencing from 2001,01,16 to 20
INTERNATIONAL PLAZA,ANSON ROAD,Office,"750,000",462.85,"1,620",Nov-24,Strata,43,"17,442",99 yrs lease commencing from 1970,02,06 to 10
PLUS,CECIL STREET,Office,"3,500,000","1,259.39","2,779",Nov-24,Strata,117,"29,915",99 yrs lease commencing from 1989,01,01 to 05
REGENCY SUITES,KIM TIAN ROAD,Office,"2,120,000","1,033.34","2,052",Nov-24,Strata,96,"22,083",Freehold,03,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"695,000",312.16,"2,226",Nov-24,Strata,29,"23,966",Freehold,15,01 to 05
FORTUNE CENTRE,MIDDLE ROAD,Office,"1,590,000","1,076.4","1,477",Nov-24,Strata,100,"15,900",99 yrs lease commencing from 1980,07,16 to 20
SBF CENTER,ROBINSON ROAD,Office,"4,300,000","1,323.97","3,248",Nov-24,Strata,123,"34,959",99 yrs lease commencing from 2011,01,16 to 20
ONE SOPHIA,SOPHIA ROAD,Office,"3,738,000","1,162.51","3,215",Nov-24,Strata,108,"34,611",99 yrs lease commencing from 2023,09,06 to 10
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,045,800",581.26,"1,799",Nov-24,Strata,54,"19,367",99 yrs lease commencing from 1996,07,11 to 15
BURLINGTON SQUARE,BENCOOLEN STREET,Office,"1,026,000",570.49,"1,798",Nov-24,Strata,53,"19,358",99 yrs lease commencing from 1996,07,11 to 15
SULTAN PLAZA,JALAN SULTAN,Office,"310,000",247.57,"1,252",Nov-24,Strata,23,"13,478",99 yrs lease commencing from 1978,07,01 to 05
ASCENT @ 456,BALESTIER ROAD,Office,"988,000",376.74,"2,622",Nov-24,Strata,35,"28,229",Freehold,12,01 to 05
FUYUEN COURT,SIMS AVENUE,Office,"1,450,000","1,550.02",935,Oct-24,Strata,144,"10,069",Freehold,14,01 to 05
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"16,432,200","4,833.04","3,400",Oct-24,Strata,449,"36,597",99 yrs lease commencing from 1989,01,36 to 40
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,200,000",678.13,"1,770",Oct-24,Strata,63,"19,048",99 yrs lease commencing from 1997,07,06 to 10
TEXTILE CENTRE,JALAN SULTAN,Office,"605,888",473.62,"1,279",Oct-24,Strata,44,"13,770",99 yrs lease commencing from 1970,07,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"6,600,000","5,963.26","1,107",Oct-24,Strata,554,"11,913",99 yrs lease commencing from 1969,03,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"710,000",387.5,"1,832",Oct-24,Strata,36,"19,722",Freehold,15,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,240,000",548.96,"2,259",Oct-24,Strata,51,"24,314",99 yrs lease commencing from 2011,14,01 to 05
HIGH STREET PLAZA,HIGH STREET,Office,"1,227,000",409.03,"3,000",Oct-24,Strata,38,"32,289",999 yrs lease commencing from 1827,06,06 to 10
HIGH STREET PLAZA,HIGH STREET,Office,"936,000",312.16,"2,999",Oct-24,Strata,29,"32,276",999 yrs lease commencing from 1827,06,06 to 10
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"838,000",355.21,"2,359",Oct-24,Strata,33,"25,394",Freehold,15,01 to 05
ICON@CHANGI,CHANGI ROAD,Office,"600,000",150.7,"3,982",Oct-24,Strata,14,"42,857",Freehold,14,01 to 05
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"640,000",484.38,"1,321",Oct-24,Strata,45,"14,222",Freehold,14,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Office,"2,150,000",958,"2,244",Oct-24,Strata,89,"24,157",Freehold,09,11 to 15
GB BUILDING,CECIL STREET,Office,"10,880,000","5,500.4","1,978",Oct-24,Strata,511,"21,292",99 yrs lease commencing from 1982,01,26 to 30
GOLDEN MILE TOWER,BEACH ROAD,Office,"986,888",699.66,"1,411",Oct-24,Strata,65,"15,183",99 yrs lease commencing from 1969,07,16 to 20
SOHO LIFE,JOO CHIAT ROAD,Office,"760,000",398.27,"1,908",Oct-24,Strata,37,"20,541",Freehold,15,01 to 05
ORCHARD PLAZA,ORCHARD ROAD,Office,"740,000",452.09,"1,637",Oct-24,Strata,42,"17,619",99 yrs lease commencing from 1977,09,06 to 10
TONG ENG BUILDING,CECIL STREET,Office,"3,862,596","1,227.1","3,148",Oct-24,Strata,114,"33,882",999 yrs lease commencing from 1885,01,21 to 25
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"850,000",484.38,"1,755",Oct-24,Strata,45,"18,889",99 yrs lease commencing from 1997,07,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,318,000","1,065.64","2,175",Oct-24,Strata,99,"23,414",99 yrs lease commencing from 2011,14,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,230,000",559.73,"2,197",Oct-24,Strata,52,"23,654",99 yrs lease commencing from 2014,25,06 to 10
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"400,000",226.04,"1,770",Oct-24,Strata,21,"19,048",99 yrs lease commencing from 1980,03,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,120,000",635.08,"1,764",Oct-24,Strata,59,"18,983",99 yrs lease commencing from 1997,07,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,763,580",968.76,"1,820",Oct-24,Strata,90,"19,595",99 yrs lease commencing from 1970,02,16 to 20
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,150,000",667.37,"1,723",Oct-24,Strata,62,"18,548",99 yrs lease commencing from 1997,07,01 to 05
111 SOMERSET,SOMERSET ROAD,Office,"2,200,000",785.77,"2,800",Oct-24,Strata,73,"30,137",99 yrs lease commencing from 1975,09,11 to 15
SOUTHBANK,NORTH BRIDGE ROAD,Office,"1,688,888","1,011.82","1,669",Oct-24,Strata,94,"17,967",99 yrs lease commencing from 2006,07,16 to 20
INTERNATIONAL PLAZA,ANSON ROAD,Office,"3,500,000","2,357.32","1,485",Oct-24,Strata,219,"15,982",99 yrs lease commencing from 1970,02,11 to 15
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,280,000",731.95,"1,749",Oct-24,Strata,68,"18,824",99 yrs lease commencing from 1997,07,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"920,000",462.85,"1,988",Oct-24,Strata,43,"21,395",99 yrs lease commencing from 1970,02,21 to 25
SOUTHBANK,NORTH BRIDGE ROAD,Office,"950,000",602.78,"1,576",Oct-24,Strata,56,"16,964",99 yrs lease commencing from 2006,07,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"2,010,000",624.31,"3,220",Sep-24,Strata,58,"34,655",99 yrs lease commencing from 2001,01,11 to 15
ICON@CHANGI,CHANGI ROAD,Office,"762,000",430.56,"1,770",Sep-24,Strata,40,"19,050",Freehold,14,01 to 05
TONG BUILDING,ORCHARD ROAD,Office,"33,500,000","6,867.43","4,878",Sep-24,Strata,638,"52,508",Freehold,09,06 to 10
TONG BUILDING,ORCHARD ROAD,Office,"35,000,000","6,867.43","5,097",Sep-24,Strata,638,"54,859",Freehold,09,06 to 10
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,620,000",936.47,"1,730",Sep-24,Strata,87,"18,621",99 yrs lease commencing from 1970,02,16 to 20
INTERNATIONAL PLAZA,ANSON ROAD,Office,"900,000",473.62,"1,900",Sep-24,Strata,44,"20,455",99 yrs lease commencing from 1970,02,16 to 20
SAMSUNG HUB,CHURCH STREET,Office,"14,800,000","3,595.18","4,117",Sep-24,Strata,334,"44,311",999 yrs lease commencing from 1827,01,16 to 20
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,250,000",559.73,"2,233",Sep-24,Strata,52,"24,038",99 yrs lease commencing from 2014,25,11 to 15
N.A.,ROBINSON ROAD,Office,"17,919,925","4,746.92","3,775",Sep-24,Strata,441,"40,635",Freehold,01,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,178,845",559.73,"2,106",Sep-24,Strata,52,"22,670",99 yrs lease commencing from 2014,25,11 to 15
HIGH STREET PLAZA,HIGH STREET,Office,"1,750,000",785.77,"2,227",Sep-24,Strata,73,"23,973",999 yrs lease commencing from 1827,06,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Office,"1,000,000",785.77,"1,273",Sep-24,Strata,73,"13,699",99 yrs lease commencing from 1970,07,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,550,000","1,130.22","2,256",Sep-24,Strata,105,"24,286",99 yrs lease commencing from 2011,14,06 to 10
THE PLAZA,BEACH ROAD,Office,"655,000",430.56,"1,521",Sep-24,Strata,40,"16,375",99 yrs lease commencing from 1968,07,16 to 20
N.A.,ROBINSON ROAD,Office,"18,556,200","4,757.69","3,900",Sep-24,Strata,442,"41,982",Freehold,01,06 to 10
HOA NAM BUILDING,FOCH ROAD,Office,"381,000",172.22,"2,212",Sep-24,Strata,16,"23,813",Freehold,08,01 to 05
VIVA VISTA,SOUTH BUONA VISTA ROAD,Office,"288,800",161.46,"1,789",Sep-24,Strata,15,"19,253",Freehold,05,01 to 05
TONG BUILDING,ORCHARD ROAD,Office,"31,330,000","6,867.43","4,562",Sep-24,Strata,638,"49,107",Freehold,09,06 to 10
HIGH STREET PLAZA,HIGH STREET,Office,"1,550,000",613.55,"2,526",Aug-24,Strata,57,"27,193",999 yrs lease commencing from 1827,06,01 to 05
ORIENTAL VENTURE BUILDING,GEYLANG ROAD,Office,"1,480,000","1,097.93","1,348",Aug-24,Strata,102,"14,510",Freehold,14,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,975,490",947.23,"2,086",Aug-24,Strata,88,"22,449",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,163,581",559.73,"2,079",Aug-24,Strata,52,"22,377",99 yrs lease commencing from 2014,25,06 to 10
HAVELOCK2,HAVELOCK ROAD,Office,"1,500,000",721.19,"2,080",Aug-24,Strata,67,"22,388",99 yrs lease commencing from 1983,01,01 to 05
EON SHENTON,SHENTON WAY,Office,"1,200,000",505.91,"2,372",Aug-24,Strata,47,"25,532",99 yrs lease commencing from 2011,02,16 to 20
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,580,000","1,679.18","1,536",Aug-24,Strata,156,"16,538",99 yrs lease commencing from 1980,07,16 to 20
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"4,395,600","1,776.06","2,475",Aug-24,Strata,165,"26,640",999 yrs lease commencing from 1829,06,21 to 25
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,243,076",559.73,"2,221",Aug-24,Strata,52,"23,905",99 yrs lease commencing from 2014,25,11 to 15
VISION EXCHANGE,VENTURE DRIVE,Office,"3,051,000","1,442.38","2,115",Aug-24,Strata,134,"22,769",99 yrs lease commencing from 2013,22,11 to 15
THE PLAZA,BEACH ROAD,Office,"490,000",301.39,"1,626",Aug-24,Strata,28,"17,500",99 yrs lease commencing from 1968,07,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,700,000",635.08,"2,677",Aug-24,Strata,59,"28,814",99 yrs lease commencing from 2001,01,06 to 10
THE MODULES,JOO CHIAT ROAD,Office,"788,888",365.98,"2,156",Aug-24,Strata,34,"23,203",Freehold,15,01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,"1,050,000",753.48,"1,394",Aug-24,Strata,70,"15,000",99 yrs lease commencing from 1970,01,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"2,700,000","1,388.56","1,944",Aug-24,Strata,129,"20,930",99 yrs lease commencing from 2013,22,16 to 20
PRUDENTIAL TOWER,CECIL STREET,Office,"26,500,000","5,715.68","4,636",Aug-24,Strata,531,"49,906",99 yrs lease commencing from 1996,01,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Office,"900,000",882.65,"1,020",Aug-24,Strata,82,"10,976",99 yrs lease commencing from 1970,07,06 to 10
SIM LIM TOWER,JALAN BESAR,Office,"924,000",419.8,"2,201",Aug-24,Strata,39,"23,692",Freehold,08,11 to 15
PLUS,CECIL STREET,Office,"3,150,000","1,001.05","3,147",Aug-24,Strata,93,"33,871",99 yrs lease commencing from 1989,01,21 to 25
PENINSULA EXCELSIOR HOTEL,COLEMAN STREET,Office,"600,000",376.74,"1,593",Aug-24,Strata,35,"17,143",99 yrs lease commencing from 1979,06,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,861,000",979.52,"1,900",Aug-24,Strata,91,"20,451",99 yrs lease commencing from 1970,02,16 to 20
WOODS SQUARE,WOODLANDS SQUARE,Office,"3,050,000","1,560.78","1,954",Aug-24,Strata,145,"21,034",99 yrs lease commencing from 2014,25,01 to 05
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"4,470,000","2,486.48","1,798",Aug-24,Strata,231,"19,351",99 yrs lease commencing from 1980,01,21 to 25
FORTUNE CENTRE,MIDDLE ROAD,Office,"2,380,000","1,550.02","1,535",Aug-24,Strata,144,"16,528",99 yrs lease commencing from 1980,07,16 to 20
ROBINSON SQUARE,ROBINSON ROAD,Office,"3,552,000","1,184.04","3,000",Aug-24,Strata,110,"32,291",Freehold,01,11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"750,000",398.27,"1,883",Aug-24,Strata,37,"20,270",Freehold,15,01 to 05
TONG ENG BUILDING,CECIL STREET,Office,"1,350,000",462.85,"2,917",Aug-24,Strata,43,"31,395",999 yrs lease commencing from 1885,01,06 to 10
THE MODULES,JOO CHIAT ROAD,Office,"931,000",452.09,"2,059",Aug-24,Strata,42,"22,167",Freehold,15,01 to 05
THE MODULES,JOO CHIAT ROAD,Office,"1,120,000",538.2,"2,081",Aug-24,Strata,50,"22,400",Freehold,15,01 to 05
